Firstname,Middlename,Lastname,Sex,House_No,Street,Subdivision,Date_of_Birth,Place_of_Birth,Civil_Status,Occupation,Email,Contact_No,Voter_Status,Citizenship,Household_No,OSY,PWD,Household_Head,Ext
SDHV,KSDV,KSDHVB,Female,213,KAJB,K,10/3/2023,DSV,Married,KJSDBV,renzvanni999@gmail.com,,,DJSV,64,N/A,,yes,
LASS,TEMPEST,SWOON,Male,99,PLAIN,SIERA,10/30/2004,PIERA,Single,ASSASSIN,renzvanni999@gmail.com,,,ALIEN,32,N/A,,yes,
NKJB,JB,J,Male,23,SDV,SDBV,9/26/2023,SDKJB,Married,DSBV,renzvanni999@gmail.com,,,SLDV,23,N/A,,yes,
KJSB,KJBSD,BVC,Male,675,JSHDV,KB,10/4/2023,SDBV,Single,KJBSDV,renzvanni999@gmail.com,,,SDJKBV,786,N/A,,yes,
OEWYRI,"NM,N",KJBSDV,Male,85,SDBV,ASV,9/27/2023,SKDJBV,Single,JBDV,renzvanni999@gmail.com,,,KJSBDV,765,N/A,,yes,
LASS,HARPE,SWUN,Male,9,PLAIN,PRAIER,10/17/2023,SKID,Single,ASSASSIN,renzvanni999@gmail.com,,,SHADOW,4,N/A,,yes,
IVAN,GONZALO,JAVIE,Male,3,TIORONA,MENDEZ,10/9/2023,CAVITE,Single,DEVELOPER,,,,FILIPINO,,N/A,,yes,99
PWEE,PERF,KIVY,Female,3,TIORONA,MENDEZ,10/3/2023,CAVITE,Married,NURSE,,,,JAPAN,,N/A,,no,8
JOHN,WEW,ITULID,Female,3,TIRONA,MENDEZ,10/25/2023,CAVITE,Married,NURSE,renzvanni999@gmail.com,,,FILIPINO,8,N/A,,yes,
ELESIS,FLARE,SIEGHART,Male,9,PLAIN,SIEG,10/10/2023,CAVITE,Single,WARRIOR,renzvanni999@gmail.com,,,FILIPINO,7,N/A,,yes,
LEO,HART,FLARE,Male,8,TIRONA,MENDEZ,10/4/2023,CAVITE,Single,ASSASSIN,renzvanni999@gmail.com,,,FILIPINO,1,N/A,,yes,
JOHN,SINS,WICK,Male,9,SAINT,HOUR,10/9/2023,CAVITE,Single,HITMAN,renzvanni999@gmail.com,,,AMERICA,1,N/A,,yes,
rod,casaclang,homeres,Male,3,sdca,sdcad,0000-00-00,sacas,Single,sacsac,ascas@gmail.com,123123,voter,ascasc,21312,OSY,,,
slnvlnqksdn,nsdln,sdjbn,Male,,sdv,sdvsdv,0000-00-00,saasc,Married,sdva,sdvsd@gmail.com,234124,voter,sdvsv,234124,OSY,,,
bob,bee,buu,Male,2,sdvsv,sdvsdv,0000-00-00,sdvsdv,Married,sdvsv,renzvanni999@gmail.com,32423,voter,sdvsv,234,OSY,,,
jia,shie,park,Female,3,tirona,mendez,0000-00-00,cavite,Single,developer,jia@gmail.com,8923984523,voter,filipino,2134,OSY,,,
asa,asc,asc,Female,213,sdv,sscac,0000-00-00,ascas,Single,asc,ioashc@gmail.com,231412,voter,asc,123,,PWD,,
askcb,ajsb,sdva,Female,123,asc,ascasc,0000-00-00,ascas,Single,ln,asnc@gmail.com,124124,voter,jskacn,123,,PWD,,
lsknvn,nksdv,asdv,Male,123,asc,sdvASC,0000-00-00,ascasc,Divorced,askjbc,askvcba@gmail.com,1234124,non-voter,aslnclnas,,,PWD,,
yul,shie,park,male,3,tirona,mendez,0000-00-00,dasmarinas,,developer,renzvanni999@gmail.com,,,filipino,,,,,
lay,way,part,male,23,234,dsvsv,0000-00-00,cavite,widowed,jsdf,,,,filipino,,,,,
sdlv,sndvl,sldnv,male,123,213,dksjvb,0000-00-00,smdv,single,kjsbdv,dkshv@gmail.com,,,kjsbdv,,,,,
ASDAS,SADSAD,ASDASD,Male,2,AASD,ASDASD,0000-00-00,ASDASD,Divorced,ASDASD,,,,ASDASD,,N/A,,,
KJHKH,LHKH,KJLJ,Female,2,AASD,ASDASD,0000-00-00,ILK,Married,KJB,,,,KJBKB,,N/A,,,
SDNV,SKNDV,LKSDV,Male,213,SDKJVB,KAJB,0000-00-00,SDLNV,Divorced,KJSDBDV,,,,SDV,1230000,N/A,,,
KWU,POO,PART,Female,9,STT,MOON,0000-00-00,DJKB,Single,COOK,,,,INDIAN,99,N/A,,,
as,SADSAD,sad,Male,98,SDV,SDV,0000-00-00,JKBJKB,Single,svbjs,,,,DFKBJV,987,,,,
kska,cjv,kjcbv,,Male,skjdv,sjv,0000-00-00,sdkv,Single,sdjvn,,,,kdvvb,903,,,,
kska,cjv,kjcbv,Male,,sdvkb,sdvb,0000-00-00,jksbdv,Single,sdvsv,,,,sdv,23,,,,
pppppp,lllll,uuuuu,Male,,dfkjbv,ssdkjbv,0000-00-00,dfb,Single,sdvv,,,,234,234,,,,
